id,avg_alcmost_freq,avg_alcmost,alc_norm_5_r,groupAtt_alc,groupAtt_binge
muri369,122.57142857142857,3.0714285714285716,4.0,5.0,4.0
muri373,109.6,4.5,2.0,4.0,3.0
muri396,46.0,1.95,1.0,2.0,1.0
muri393,11.333333333333334,2.388888888888889,2.0,4.0,3.0
muri400,46.44444444444444,2.6666666666666665,1.0,2.0,1.0
muri389,17.142857142857142,3.607142857142857,1.0,3.0,3.0
muri404,34.22222222222222,3.0,2.0,3.0,3.0
muri405,55.53846153846154,1.8461538461538463,3.0,1.0,1.0
muri408,13.5,4.125,2.0,3.0,3.0
muri531,8.0,6.5,4.0,4.0,4.0
muri542,29.75,9.125,2.0,4.0,4.0
muric202,43.666666666666664,4.458333333333333,4.0,5.0,5.0
muric205,41.833333333333336,4.5,2.0,5.0,4.0
muric208,29.6,7.4,3.0,5.0,5.0
muric210,49.55555555555556,5.0,1.0,4.0,3.0
muric212,97.55555555555556,9.055555555555555,2.0,4.0,3.0
muric213,37.36842105263158,3.8947368421052633,3.0,4.0,2.0
muric219,32.666666666666664,4.5,1.0,5.0,4.0
muric224,44.666666666666664,7.523809523809524,2.0,5.0,3.0
muric230,86.66666666666667,3.35,2.0,5.0,3.0
muric232,112.0,5.666666666666667,4.0,4.0,3.0
muric233,19.846153846153847,4.423076923076923,1.0,5.0,4.0
muric234,102.6,3.9,2.0,5.0,5.0
muric241,42.0,2.230769230769231,1.0,5.0,3.0
muric242,91.71428571428571,6.357142857142857,1.0,4.0,4.0
muric243,40.30769230769231,2.642857142857143,1.0,5.0,4.0
muric244,69.0,4.75,1.0,5.0,3.0
muric245,136.1875,14.34375,2.0,5.0,4.0
muric246,17.846153846153847,5.25,1.0,4.0,4.0
muric247,88.0,4.5,1.0,4.0,3.0
muric249,124.16666666666667,3.4583333333333335,1.0,5.0,5.0
muric250,63.111111111111114,3.9444444444444446,1.0,5.0,5.0
muric251,61.86666666666667,3.9166666666666665,2.0,5.0,2.0
muric254,108.61538461538461,3.1153846153846154,3.0,5.0,4.0
muri012,95.75,3.4375,3.0,4.0,4.0
muri017,41.6,2.8,3.0,5.0,4.0
muri034,114.26666666666667,1.4,4.0,4.0,3.0
muri041,54.285714285714285,3.107142857142857,2.0,4.0,2.0
muri063,65.33333333333333,2.5833333333333335,2.0,5.0,5.0
muri078,69.33333333333333,1.3333333333333333,1.0,4.0,4.0
muri086,38.5,4.5625,3.0,5.0,3.0
muri088,43.904761904761905,2.0,2.0,4.0,4.0
muri091,24.166666666666668,4.083333333333333,3.0,4.0,4.0
muri092,84.4,3.1,4.0,4.0,4.0
muri096,48.36363636363637,3.1818181818181817,2.0,4.0,3.0
muri098,83.0,3.272727272727273,2.0,5.0,5.0
muri101,32.666666666666664,3.111111111111111,1.0,5.0,5.0
muri117,53.27272727272727,3.6666666666666665,1.0,3.0,1.0
muric301,5.25,1.5,1.0,4.0,4.0
muric312,17.846153846153847,0.8,4.0,4.0,3.0
muric321,49.2,1.4,1.0,4.0,2.0
muric325,70.71428571428571,1.0,4.0,5.0,2.0
muric328,6.0,20.5,2.0,5.0,2.0
muric354,70.75,2.0,3.0,5.0,4.0
muric358,51.4,1.6,1.0,5.0,4.0
muric375,28.727272727272727,2.0,2.0,4.0,1.0
muri163,73.42857142857143,3.0714285714285716,2.0,5.0,5.0
muri173,51.42857142857143,3.5714285714285716,1.0,4.0,3.0
muri186,54.6,3.4,3.0,3.0,2.0
muri196,38.888888888888886,4.12962962962963,2.0,3.0,2.0
muri201,21.166666666666668,3.2916666666666665,2.0,3.0,1.0
muric419,66.06666666666666,3.3,3.0,4.0,2.0
muric424,71.63636363636364,5.068181818181818,3.0,5.0,4.0
muric429,125.16666666666667,4.375,2.0,4.0,2.0
muric430,102.61538461538461,6.769230769230769,3.0,3.0,3.0
muric431,50.53333333333333,3.033333333333333,1.0,4.0,2.0
muric432,42.48,2.72,3.0,5.0,3.0
muric434,26.307692307692307,2.0,1.0,3.0,2.0
muric435,68.36363636363636,5.5,2.0,4.0,5.0
