,"id","college_year","age","gender_numeric","race_numeric","income_numeric"
"1","muri012",1,19,1,1,87499.5
"2","muri017",3,21,1,1,87499.5
"3","muri034",3,23,1,1,2e+05
"4","muri041",2,21,1,1,2e+05
"5","muri063",3,21,1,3,27499.5
"6","muri078",5,23,1,1,4999.5
"7","muri086",2,21,2,2,149999.5
"8","muri088",4,23,2,1,2e+05
"9","muri091",1,19,2,1,2e+05
"10","muri092",2,20,2,1,17499.5
"11","muri096",4,24,2,2,87499.5
"12","muri098",3,22,2,1,87499.5
"13","muri101",4,21,2,1,149999.5
"14","muri117",2,19,2,2,149999.5
"15","muri163",4,21,1,1,149999.5
"16","muri173",3,20,2,2,62499.5
"17","muri186",3,20,2,2,2e+05
"18","muri196",3,20,1,1,2e+05
"19","muri201",4,21,2,2,2e+05
"20","muri369",4,21,1,2,2e+05
"21","muri373",3,21,2,1,2e+05
"22","muri389",3,20,1,3,62499.5
"23","muri393",3,22,2,1,87499.5
"24","muri396",4,21,1,2,149999.5
"25","muri400",3,20,2,1,2e+05
"26","muri404",3,22,2,1,2e+05
"27","muri405",4,22,1,5,NA
"28","muri408",3,22,2,2,NA
"29","muri531",2,21,1,2,NA
"30","muri542",2,20,2,2,149999.5
"31","muric202",4,21,1,1,87499.5
"32","muric205",3,20,2,2,2e+05
"33","muric208",2,20,1,2,62499.5
"34","muric210",4,22,2,2,2e+05
"35","muric212",2,19,2,2,NA
"36","muric213",1,18,2,5,149999.5
"37","muric219",3,21,1,2,NA
"38","muric224",4,28,1,2,149999.5
"39","muric230",1,18,2,2,2e+05
"40","muric232",3,20,1,1,2e+05
"41","muric233",4,21,2,5,62499.5
"42","muric234",1,18,2,2,62499.5
"43","muric241",1,19,2,1,149999.5
"44","muric242",1,19,1,1,62499.5
"45","muric243",4,22,1,4,12499.5
"46","muric244",1,18,2,1,149999.5
"47","muric245",2,23,2,4,17499.5
"48","muric246",1,19,1,5,87499.5
"49","muric247",1,18,2,1,87499.5
"50","muric249",3,21,1,1,149999.5
"51","muric250",1,18,1,1,62499.5
"52","muric251",1,19,2,1,87499.5
"53","muric254",1,18,2,1,149999.5
"54","muric301",2,19,1,2,27499.5
"55","muric312",1,19,1,1,2e+05
"56","muric321",3,21,2,1,149999.5
"57","muric325",3,20,2,1,149999.5
"58","muric328",4,21,1,2,149999.5
"59","muric354",2,20,2,1,2e+05
"60","muric358",3,21,1,5,87499.5
"61","muric375",5,22,3,1,149999.5
"62","muric419",4,21,2,1,2e+05
"63","muric424",1,19,2,1,149999.5
"64","muric429",3,22,2,1,2e+05
"65","muric430",1,19,2,1,27499.5
"66","muric431",2,19,2,1,2e+05
"67","muric432",1,19,2,5,2e+05
"68","muric434",1,18,2,1,149999.5
"69","muric435",4,22,2,1,2e+05
